"","pac_name_affiliate","country","parent","total","dems","repubs","year"
"1","7-Eleven","Japan","Ito-Yokado",8500,1500,7000,"2000"
"2","ABB Group","Switzerland","Asea Brown Boveri",46000,17000,28500,"2000"
"3","Accenture","UK","Accenture plc",75984,23000,52984,"2000"
"4","ACE INA","UK","ACE Group",38500,12500,26000,"2000"
"5","Acuson Corp (Siemens AG)","Germany","Siemens AG",2000,2000,0,"2000"
"6","Adtranz (DaimlerChrysler)","Germany","DaimlerChrysler AG",10500,10000,500,"2000"
"7","AE Staley Manufacturing (Tate & Lyle)","UK","Tate & Lyle",24000,10000,14000,"2000"
"8","AEGON USA (AEGON NV)","Netherlands","Aegon NV",58250,10500,47750,"2000"
"9","AIM Management Group","UK","AMVESCAP",25000,10000,15000,"2000"
"10","Air Liquide America","France","L'Air Liquide SA",0,0,0,"2000"
"11","Alcatel USA","France","Alcatel",21000,6000,15000,"2000"
"12","Aliant Communications","Canada","BCE",2000,1000,1000,"2000"
"13","Allfirst Financial","Ireland","Allied Irish Banks",11900,6950,4950,"2000"
"14","Allied Domecq Spirits & Wine","UK","Allied Domecq",41800,6200,35600,"2000"
"15","AMP Inc (Tyco International)","Ireland","Tyco International",17750,1250,16500,"2000"
"16","Anglogold Ltd","UK","Anglo American PLC",14000,4000,10000,"2000"
"17","APL Ltd","Singapore","Neptune Orient Lines Ltd",20200,5450,14750,"2000"
"18","Aqua-Chem Inc","France","Lyonnaise des Eaux-Dumez Group",1639,0,1639,"2000"
"19","ASARCO LLC","Mexico","Nueva Grupo Mexico",20735,2000,18735,"2000"
"20","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK","AstraZeneca",131155,28250,102905,"2000"
"21","Atlantic Richfield (BP)","UK","BP PLC",106454,30979,75475,"2000"
"22","ATOFINA Chemicals (TotalFinaElf)","France","TOTAL FINA ELF",25650,5650,20000,"2000"
"23","ATOFINA Petrochemicals (TotalFinaElf)","France","TotalFinaElf",25000,9250,15750,"2000"
"24","Aventis CropScience (Aventis)","France","Aventis",23500,12500,11000,"2000"
"25","Aventis Pasteur USA (Aventis)","France","Aventis",107500,54500,53000,"2000"
"26","Aventis Pharmaceuticals (Aventis)","France","Aventis",18000,1500,16500,"2000"
"27","Aventis Pharmaceuticals Products (Aventis)","France","Aventis",48700,7500,41200,"2000"
"28","Bacardi USA (Bacardi Ltd)","UK","Bacardi Ltd",500,0,500,"2000"
"29","Bacardi USA (Bacardi Ltd)","UK","Bacardi Ltd",0,0,0,"2000"
"30","BAE Systems North America (BAE Systems)","UK","BAE Systems",243639,98580,145059,"2000"
"31","Barrick Goldstrike Mines","Canada","Barrick Gold Corp",73250,20075,53175,"2000"
"32","BASF Corp","Germany","BASF Group",219250,31500,185750,"2000"
"33","Bayer Corp","Germany","Bayer AG",245500,57500,188000,"2000"
"34","Bear Creek Corp (Yamanouchi Consumer)","Japan","Yamanouchi Consumer",4500,1500,3000,"2000"
"35","BHP Holdings","Australia","Broken Hill Proprietary",4250,1500,2750,"2000"
"36","Bird-Johnson Co (Rolls-Royce PLC)","UK","Rolls-Royce PLC",6500,4000,2500,"2000"
"37","Blue Circle America (Blue Circle Industries)","UK","Blue Circle Industries",31500,5000,26500,"2000"
"38","BOC Group","UK","BOC Group",0,0,0,"2000"
"39","BP (BP)","UK","BP PLC",-3000,-3000,0,"2000"
"40","BP North America (BP)","UK","BP PLC",204000,56500,147500,"2000"
"41","Brinson Partners","Switzerland","UBS AG",0,0,0,"2000"
"42","Brown & Williamson Tobacco","UK","British American Tobacco",363550,116500,243050,"2000"
"43","Budd Co","Germany","ThyssenKrupp AG",14000,1000,13000,"2000"
"44","Burns International Services (Securitas AB)","Sweden","Securitas AB",500,0,500,"2000"
"45","Burson-Marsteller (WPP Group)","UK","WPP Group",83500,46500,37000,"2000"
